State,Imported,Local,Total,Recent 2 Weeks
Alabama,1,0,1,1
Alaska,2,1,3,0
Arizona,4,12,16,11
Arkansas,2,6,8,0
California,15,5,20,0
Colorado,14,13,27,6
Connecticut ,0,0,0,0
Delaware,0,0,0,0
District of Columbia,1,0,1,0
Florida,1,5,6,0
Georgia,2,4,6,0
Hawaii,2,0,2,0
Idaho,1,2,3,1
Idaho,0,0,0,0
Illinois,1,9,10,0
Indiana,0,9,9,0
Iowa,1,7,8,0
Kansas,0,90,90,0
Kentucky,3,11,14,0
Louisiana,1,1,2,0
Maine ,0,0,0,0
Maryland,3,0,3,0
Massachusetts,0,0,0,0
Michigan,6,21,27,0
Minnesota,3,2,5,0
Mississippi,0,0,0,0
Missouri,1,6,7,0
Montana,7,24,31,0
Nebraska,1,0,1,0
Nevada,0,0,0,0
New Hampshire,0,0,0,0
New Jersey,4,5,9,3
New Mexico,1,99,100,0
New York,4,13,17,1
North Carolina,1,0,1,0
North Dakota,6,30,36,0
Ohio,6,29,35,0
Oklahoma,0,17,17,0
Oregon,1,0,1,0
Pennsylvania,6,7,13,0
Rhode Island,1,0,1,0
South Carolina,1,0,1,0
South Dakota,9,3,12,0
Tennessee,0,6,6,0
Texas,0,801,801,0
U.S.,130,1280,1410,41
Utah,0,14,14,3
Vermont,1,0,1,0
Virginia,2,1,3,0
Washington,5,5,10,0
West Virginia,0,0,0,0
Wisconsin,9,14,23,14
Wyoming,1,8,9,1